title,source,csv file,git hub csv file,pdf link,pdf name,year
Sale of petroleum product[ in KL expect LPG]2000-2013 AD,Nepal Oil Corporation,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Datasets for OpenNepal - 40 (1).csv&nid=3013,"https://github.com/opennepal/odp-energy/tree/master/Sale of petroleum product[ in KL expect LPG],2000-2013 AD/data.csv",,,
Import of Petroleum Products [in KL except LPG]2000-2013 AD,Nepal Oil Corporation,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Datasets for OpenNepal - 39.csv&nid=2634,"https://github.com/opennepal/odp-energy/tree/master/Import of Petroleum Products [in KL except LPG],2000-2013 AD/data.csv",,,
Total Energy Available and Peak Demand (FY 2012-2013),,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Energy Available and Peak Demand.csv&nid=1629,https://github.com/opennepal/odp-energy/tree/master/Total Energy Available and Peak Demand (FY 2012-2013)/data.csv,http://www.nea.org.np/images/supportive_docs/A-Year-in-Review-FY-2012-13.pdf,A-Year-in-Review-FY-2012-13.pdf,2004-2013*
Petroleum products prices(2004-2014),,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/data_12.csv&nid=113,"https://github.com/opennepal/odp-energy/tree/master/Petroleum products prices,(2004-2014)/data.csv",,,
